Address,City,FF Year,Formatted Address,FSCS Key,FSCS Library Name,FSCS Public Library?,Legal Basis,Legal Basis Code,Library Name,Locale 1,State Code,Zip,Circulation,Library Building Calc,Library Buildings,Library Visit,Population,Programs,Revenue,Service Area Population,Staff,Total Staff,Visits
913 BALTIMORE AVE,KANSAS CITY,2022,"913 BALTIMORE AVE, KANSAS CITY, MO 64105",MO0014,MO0014 KANSAS CITY PUBLIC LIBRARY,Yes,Library District,LD,KANSAS CITY PUBLIC LIBRARY,City,MO,64105,1779541,11,11,227745,232498,1705,29270304,232498,199,199,227745
1415 OLIVE ST,ST. LOUIS,2022,"1415 OLIVE ST, ST. LOUIS, MO 63103",MO0030,MO0030 CITY OF ST. LOUIS MUNICIPAL LIBRARY DISTRICT,Yes,Library District,LD,CITY OF ST. LOUIS MUNICIPAL LIBRARY DISTRICT,City,MO,63103,1944810,16,16,967534,301578,3483,32052653,301578,349,349,967534
100 W BROADWAY,COLUMBIA,2022,"100 W BROADWAY, COLUMBIA, MO 65203",MO0034,MO0034 DANIEL BOONE REGIONAL LIBRARY,Yes,Library District,LD,DANIEL BOONE REGIONAL LIBRARY,City,MO,65203,2247205,6,6,303919,223840,328,14292917,223840,133,133,303919
4653 S CAMPBELL AVE,SPRINGFIELD,2022,"4653 S CAMPBELL AVE, SPRINGFIELD, MO 65810",MO0020,MO0020 SPRINGFIELD-GREENE COUNTY LIBRARY DISTRICT,Yes,Library District,LD,SPRINGFIELD-GREENE COUNTY LIBRARY DISTRICT,City,MO,65810,2547364,11,11,989665,298915,1857,16078229,298915,204,204,989665
210 E LEWIS AVE,LILBOURN,2022,"210 E LEWIS AVE, LILBOURN, MO 63862",MO0115,MO0115 LILBOURN MEMORIAL LIBRARY,Yes,Library District,LD,LILBOURN MEMORIAL LIBRARY,Rural,MO,63862,1626,1,1,186,822,0,117435,822,0,0,186
736 MISSISSIPPI AVENUE,CRYSTAL CITY,2022,"736 MISSISSIPPI AVENUE, CRYSTAL CITY, MO 63019",MO0077,MO0077 CRYSTAL CITY PUBLIC LIBRARY,Yes,Library District,LD,CRYSTAL CITY PUBLIC LIBRARY,Rural,MO,63019,9401,1,1,5506,4740,0,123951,4740,2,2,5506
711 N CLARK ST,CAPE GIRARDEAU,2022,"711 N CLARK ST, CAPE GIRARDEAU, MO 63701",MO0048,MO0048 MUNICIPAL LIBRARY DISTRICT OF THE CITY OF CAPE GIRARDEAU,Yes,Library District,LD,MUNICIPAL LIBRARY DISTRICT OF THE CITY OF CAPE GIRARDEAU,City,MO,63701,185577,1,1,90297,36170,885,1236508,36170,19,19,90297
1901 E 20TH STREET,JOPLIN,2022,"1901 E 20TH STREET, JOPLIN, MO 64804",MO0041,MO0041 JOPLIN PUBLIC LIBRARY,Yes,Library District,LD,JOPLIN PUBLIC LIBRARY,City,MO,64804,404833,1,1,175873,48784,305,2330018,48784,30,30,175873
1912 N BELT HWY,ST. JOSEPH,2022,"1912 N BELT HWY, ST. JOSEPH, MO 64506",MO0206,MO0206 ROLLING HILLS CONSOLIDATED,Yes,Library District,LD,ROLLING HILLS CONSOLIDATED,City,MO,64506,367315,3,3,150397,41674,496,3160237,41674,29,29,150397
"308 EAST HIGH, SUITE 205",JEFFERSON CITY,2022,"308 EAST HIGH, SUITE 205, JEFFERSON CITY, MO 65101",MO0175,MO0175 MISSOURI RIVER REGIONAL LIBRARY,Yes,Library District,LD,MISSOURI RIVER REGIONAL LIBRARY,City,MO,65101,553002,3,3,155044,90553,859,3654369,90553,44,44,155044
927 FELIX STREET,ST. JOSEPH,2022,"927 FELIX STREET, ST. JOSEPH, MO 64501",MO0227,MO0227 SAINT JOSEPH PUBLIC LIBRARY,Yes,Library District,LD,SAINT JOSEPH PUBLIC LIBRARY,City,MO,64501,172079,4,4,80916,61254,283,3584716,61254,43,43,80916
201 N HICKMAN ST,PUXICO,2022,"201 N HICKMAN ST, PUXICO, MO 63960",MO0166,MO0166 PUXICO PUBLIC LIBRARY,Yes,"Municipal Government (city, town or village)",CI,PUXICO PUBLIC LIBRARY,Rural,MO,63960,2266,1,1,1924,873,81,28767,873,1,1,1924
501 S BROADWAY,SALISBURY,2022,"501 S BROADWAY, SALISBURY, MO 65281",MO0118,MO0118 DULANY MEMORIAL LIBRARY,Yes,"Municipal Government (city, town or village)",CI,DULANY MEMORIAL LIBRARY,Rural,MO,65281,6274,1,1,2743,1563,24,63922,1563,1,1,2743
125 S OAK ST,MOUNTAIN VIEW,2022,"125 S OAK ST, MOUNTAIN VIEW, MO 65548",MO0021,MO0021 MOUNTAIN VIEW PUBLIC LIBRARY,Yes,"Municipal Government (city, town or village)",CI,MOUNTAIN VIEW PUBLIC LIBRARY,Rural,MO,65548,45387,1,1,32479,2533,80,113244,2533,2,2,32479
302 E MAIN ST,HAYTI,2022,"302 E MAIN ST, HAYTI, MO 63851",MO0012,MO0012 HAYTI CONRAN MEMORIAL LIBRARY,Yes,Library District,LD,HAYTI CONRAN MEMORIAL LIBRARY,Town,MO,63851,1547,1,1,2719,2493,25,51888,2493,1,1,2719
121 N THIRD ST,LOUISIANA,2022,"121 N THIRD ST, LOUISIANA, MO 63353",MO0100,MO0100 LOUISIANA PUBLIC LIBRARY,Yes,Library District,LD,LOUISIANA PUBLIC LIBRARY,Town,MO,63353,3110,1,1,7287,3199,9,48111,3199,1,1,7287
201 W LOCUST ST,BOWLING GREEN,2022,"201 W LOCUST ST, BOWLING GREEN, MO 63334",MO0151,MO0151 BOWLING GREEN PUBLIC LIBRARY,Yes,Library District,LD,BOWLING GREEN PUBLIC LIBRARY,Town,MO,63334,19737,1,1,13652,4195,50,161115,4195,2,2,13652
102 E BOSTON ST,BROOKFIELD,2022,"102 E BOSTON ST, BROOKFIELD, MO 64628",MO0047,MO0047 BROOKFIELD PUBLIC LIBRARY,Yes,Library District,LD,BROOKFIELD PUBLIC LIBRARY,Town,MO,64628,22985,1,1,28426,4111,4,196112,4111,3,3,28426
300 W SCIOTO ST,ST. JAMES,2022,"300 W SCIOTO ST, ST. JAMES, MO 65559",MO0141,MO0141 JAMES MEMORIAL LIBRARY,Yes,Library District,LD,JAMES MEMORIAL LIBRARY,Town,MO,65559,21457,1,1,6468,3935,98,136076,3935,3,3,6468
403 N JACKSON ST,SALEM,2022,"403 N JACKSON ST, SALEM, MO 65560",MO0105,MO0105 SALEM PUBLIC LIBRARY,Yes,Library District,LD,SALEM PUBLIC LIBRARY,Town,MO,65560,30330,1,1,22360,4608,314,179075,4608,3,3,22360
402 W GRANT ST,DEXTER,2022,"402 W GRANT ST, DEXTER, MO 63841",MO0007,MO0007 KELLER PUBLIC LIBRARY OF DEXTER,Yes,Library District,LD,KELLER PUBLIC LIBRARY OF DEXTER,Town,MO,63841,39483,1,1,19893,7927,41,210513,7927,3,3,19893
ONE N FOLGER ST,CARROLLTON,2022,"ONE N FOLGER ST, CARROLLTON, MO 64633",MO0072,MO0072 CARROLLTON PUBLIC LIBRARY,Yes,Library District,LD,CARROLLTON PUBLIC LIBRARY,Town,MO,64633,29138,1,1,40258,3514,659,237164,3514,4,4,40258
218 W WALNUT ST,NEVADA,2022,"218 W WALNUT ST, NEVADA, MO 64772",MO0109,MO0109 NEVADA PUBLIC LIBRARY,Yes,Library District,LD,NEVADA PUBLIC LIBRARY,Town,MO,64772,40096,1,1,32086,8212,76,293924,8212,4,4,32086
707 W 13TH ST,CARUTHERSVILLE,2022,"707 W 13TH ST, CARUTHERSVILLE, MO 63830",MO0123,MO0123 CARUTHERSVILLE PUBLIC LIBRARY,Yes,Library District,LD,CARUTHERSVILLE PUBLIC LIBRARY,Town,MO,63830,40429,1,1,18759,5562,969,363100,5562,5,5,18759
212 S. MAIN ST.,PALMYRA,2022,"212 S. MAIN ST., PALMYRA, MO 63461",MO0024,MO0024 MARION COUNTY LIBRARY SUB-DISTRICT #1,Yes,Library District,LD,MARION COUNTY LIBRARY SUB-DISTRICT #1,Town,MO,63461,47872,1,1,17962,6734,186,260181,6734,5,5,17962
509 N MAIN ST,MARYVILLE,2022,"509 N MAIN ST, MARYVILLE, MO 64468",MO0055,MO0055 MARYVILLE PUBLIC LIBRARY,Yes,Library District,LD,MARYVILLE PUBLIC LIBRARY,Town,MO,64468,76180,1,1,25614,10633,251,505498,10633,5,5,25614
214 N LAFAYETTE AVE,MARSHALL,2022,"214 N LAFAYETTE AVE, MARSHALL, MO 65340",MO0140,MO0140 MARSHALL PUBLIC LIBRARY,Yes,Library District,LD,MARSHALL PUBLIC LIBRARY,Town,MO,65340,20359,1,1,18746,13806,80,291097,13806,5,5,18746
210 N RUTHERFORD ST,MACON,2022,"210 N RUTHERFORD ST, MACON, MO 63552",MO0101,MO0101 MACON PUBLIC LIBRARY,Yes,Library District,LD,MACON PUBLIC LIBRARY,Town,MO,63552,43618,1,1,52742,5457,55,522232,5457,6,6,52742
1331 MAIN ST,TRENTON,2022,"1331 MAIN ST, TRENTON, MO 64683",MO0052,MO0052 GRUNDY COUNTY-JEWETT NORRIS LIBRARY,Yes,Library District,LD,GRUNDY COUNTY-JEWETT NORRIS LIBRARY,Town,MO,64683,18377,1,1,8007,9808,68,288651,9808,6,6,8007
311 W 3RD ST,SEDALIA,2022,"311 W 3RD ST, SEDALIA, MO 65301",MO0090,MO0090 SEDALIA PUBLIC LIBRARY,Yes,Library District,LD,SEDALIA PUBLIC LIBRARY,Town,MO,65301,52905,1,1,27976,20022,110,767068,20022,7,7,27976
ONE LIBRARY LANE,KIRKSVILLE,2022,"ONE LIBRARY LANE, KIRKSVILLE, MO 63501",MO0015,MO0015 ADAIR COUNTY PUBLIC LIBRARY,Yes,Library District,LD,ADAIR COUNTY PUBLIC LIBRARY,Town,MO,63501,129244,1,1,77000,25314,213,635963,25314,7,7,77000
750 W BROADWAY ST,WEST PLAINS,2022,"750 W BROADWAY ST, WEST PLAINS, MO 65775",MO0108,MO0108 WEST PLAINS PUBLIC LIBRARY,Yes,Library District,LD,WEST PLAINS PUBLIC LIBRARY,Town,MO,65775,115254,1,1,99400,12184,41,585492,12184,8,8,99400
900 PINE ST,ROLLA,2022,"900 PINE ST, ROLLA, MO 65401",MO0094,MO0094 ROLLA PUBLIC LIBRARY,Yes,Library District,LD,ROLLA PUBLIC LIBRARY,Town,MO,65401,146641,1,1,110656,19943,384,529907,19943,8,8,110656
200 S FIFTH ST,HANNIBAL,2022,"200 S FIFTH ST, HANNIBAL, MO 63401",MO0051,MO0051 HANNIBAL FREE PUBLIC LIBRARY,Yes,Library District,LD,HANNIBAL FREE PUBLIC LIBRARY,Town,MO,63401,70750,1,1,28174,17086,238,996812,17086,10,10,28174
915 S JEFFERSON AVE,LEBANON,2022,"915 S JEFFERSON AVE, LEBANON, MO 65536",MO0198,MO0198 LEBANON-LACLEDE COUNTY LIBRARY,Yes,Library District,LD,LEBANON-LACLEDE COUNTY LIBRARY,Town,MO,65536,120933,1,1,80204,36039,139,813368,36039,14,14,80204
123 E GREEN ST,CLINTON,2022,"123 E GREEN ST, CLINTON, MO 64735",MO0088,MO0088 HENRY COUNTY LIBRARY,Yes,Library District,LD,HENRY COUNTY LIBRARY,Town,MO,64735,94451,2,2,34660,21946,208,779905,21946,10,10,34660
318 N MAIN ST,POPLAR BLUFF,2022,"318 N MAIN ST, POPLAR BLUFF, MO 63901",MO0125,MO0125 POPLAR BLUFF MUNICIPAL LIBRARY DISTRICT,Yes,Library District,LD,POPLAR BLUFF MUNICIPAL LIBRARY DISTRICT,Town,MO,63901,149260,2,2,53964,16225,105,1625972,16225,14,14,53964
450 LOCUST ST,CHILLICOTHE,2022,"450 LOCUST ST, CHILLICOTHE, MO 64601",MO0054,MO0054 LIVINGSTON COUNTY LIBRARY,Yes,Library District,LD,LIVINGSTON COUNTY LIBRARY,Town,MO,64601,115648,2,2,42717,14557,527,859609,14557,16,16,42717
310 HISTORIC 66 WEST,WAYNESVILLE,2022,"310 HISTORIC 66 WEST, WAYNESVILLE, MO 65583",MO0199,MO0199 PULASKI COUNTY LIBRARY,Yes,Library District,LD,PULASKI COUNTY LIBRARY,Town,MO,65583,58431,3,3,28888,52759,260,740117,52759,11,11,28888
402 N MAIN ST,IRONTON,2022,"402 N MAIN ST, IRONTON, MO 63650",MO0060,MO0060 OZARK REGIONAL LIBRARY,Yes,Library District,LD,OZARK REGIONAL LIBRARY,Town,MO,63650,31361,4,4,27352,22163,144,736472,22163,9,9,27352
219 W THIRD ST,SEDALIA,2022,"219 W THIRD ST, SEDALIA, MO 65301",MO0039,MO0039 BOONSLICK REGIONAL LIBRARY,Yes,Library District,LD,BOONSLICK REGIONAL LIBRARY,Town,MO,65301,317134,4,4,96094,59455,220,1661455,59455,20,20,96094
89 RODEO RD,CAMDENTON,2022,"89 RODEO RD, CAMDENTON, MO 65020",MO0095,MO0095 CAMDEN COUNTY LIBRARY,Yes,Library District,LD,CAMDEN COUNTY LIBRARY,Town,MO,65020,141036,6,6,118705,42745,619,1750658,42745,26,26,118705
309 E MAIN ST,PORTAGEVILLE,2022,"309 E MAIN ST, PORTAGEVILLE, MO 63873",MO0132,MO0132 NEW MADRID COUNTY LIBRARY,Yes,Library District,LD,NEW MADRID COUNTY LIBRARY,Town,MO,63873,26513,7,7,14092,14829,10,796426,14829,8,8,14092
209 N MAIN ST,KENNETT,2022,"209 N MAIN ST, KENNETT, MO 63857",MO0126,MO0126 DUNKLIN COUNTY LIBRARY,Yes,Library District,LD,DUNKLIN COUNTY LIBRARY,Town,MO,63857,177098,8,8,89752,28283,106,890759,28283,11,11,89752
506 CENTER ST,SARCOXIE,2022,"506 CENTER ST, SARCOXIE, MO 64862",MO0028,MO0028 SARCOXIE PUBLIC LIBRARY,Yes,"Municipal Government (city, town or village)",CI,SARCOXIE PUBLIC LIBRARY,Rural,MO,64862,1458,1,1,5668,1406,3,70188,1406,1,1,5668
305 POPLAR ST,ADVANCE,2022,"305 POPLAR ST, ADVANCE, MO 63730",MO0228,MO0228 ADVANCE COMMUNITY LIBRARY,Yes,"Municipal Government (city, town or village)",CI,ADVANCE COMMUNITY LIBRARY,Rural,MO,63730,3445,1,1,2340,1349,20,18182,1349,1,1,2340
200 SENECA ST,BLOOMFIELD,2022,"200 SENECA ST, BLOOMFIELD, MO 63825",MO0160,MO0160 BLOOMFIELD PUBLIC LIBRARY,Yes,"Municipal Government (city, town or village)",CI,BLOOMFIELD PUBLIC LIBRARY,Rural,MO,63825,7658,1,1,3425,1755,0,41830,1755,1,1,3425
111 N ALLEN ST,BERNIE,2022,"111 N ALLEN ST, BERNIE, MO 63822",MO0168,MO0168 BERNIE PUBLIC LIBRARY,Yes,"Municipal Government (city, town or village)",CI,BERNIE PUBLIC LIBRARY,Rural,MO,63822,654,1,1,1455,1859,3,45249,1859,1,1,1455
116 E MAIN ST,ADRIAN,2022,"116 E MAIN ST, ADRIAN, MO 64720",MO0232,MO0232 ADRIAN COMMUNITY LIBRARY,No,Library District,LD,ADRIAN COMMUNITY LIBRARY,Rural,MO,64720,2447,1,1,1595,1730,128,44058,1730,0,0,1595
